-90.100000,0.593331,-4.179711,6.156451,-2.342718,2.980294,2.998742,
-97.300000,0.597079,-4.450472,6.606433,-2.998336,1.436835,2.966618,
-87.500000,0.594639,-5.282700,7.968530,-2.290342,-2.087632,2.992783,
-96.400000,0.570034,-4.413059,6.607424,-2.995518,1.423609,2.974042,
-88.300000,0.595965,-6.007418,7.751005,-2.797153,0.903556,2.985145,
-86.700000,0.599872,-4.495588,7.101141,-1.982440,0.685364,2.749574,
-96.300000,0.596588,-4.415495,6.607854,-2.984786,1.433675,2.972638,
-95.900000,0.596644,-5.223379,6.763435,-2.788228,1.412110,2.977675,
-96.300000,0.596173,-4.413059,6.607424,-2.509069,1.423609,2.974042,
-94.700000,0.596294,-6.021121,6.849574,-2.880571,1.513336,2.977248,
-40.500000,0.596582,-4.517820,7.333609,0.177931,-0.269693,2.429950,
-96.300000,0.595526,-4.386653,6.608432,-2.993226,1.403947,2.980396,
-93.600000,0.596564,-3.700005,5.997836,-2.277134,0.208212,2.978953,
-99.400000,0.596173,-4.413059,6.607424,-3.000000,1.423609,2.974042,
-80.900000,0.596182,-3.373628,7.424270,-2.003255,2.545537,2.970677,
-97.100000,0.598201,-4.128401,6.548705,-3.018321,1.442750,-0.598217,
-98.300000,0.595546,-4.460234,6.607789,-3.005699,1.449509,2.968577,
-90.800000,0.594539,-4.661994,7.988844,-2.779539,0.009926,2.973581,
-94.600000,0.596173,-4.413059,6.607424,-2.995518,1.423609,3.000000,
-96.900000,0.595871,-4.371126,7.366135,-2.749285,2.374493,2.988185,
-97.400000,0.597471,-4.183739,6.853739,-0.509732,-0.135694,-0.380461,
-88.000000,0.596400,-4.383397,6.607118,-2.981860,1.409266,2.977251,
-94.200000,0.596672,-5.125431,7.976479,-2.737798,1.848402,2.985256,
-98.200000,0.596173,-4.733593,6.607424,-2.995518,1.423609,2.974042,
-79.100000,0.596253,-6.005276,7.421204,-2.739202,0.904198,2.976244,
-97.400000,0.597191,-4.700494,6.560249,0.283751,0.789600,2.772281,
-83.000000,0.596188,-4.368038,6.607453,-2.994036,1.420960,2.974165,
-93.500000,0.595653,-3.635600,5.735616,-2.316678,-2.169216,2.983020,
-81.500000,0.596173,-4.413059,6.607424,-2.995518,2.924804,2.974042,
-98.000000,0.595996,-4.927029,7.174368,-2.680774,1.586265,2.980098,
-82.700000,0.597368,-3.763162,6.514387,-2.651733,0.743303,0.570291,
-98.000000,0.596082,-4.442167,6.607509,-3.016215,1.428077,2.972553,
-96.200000,0.596170,-5.517754,5.565005,-3.017509,-0.554703,2.979647,
